Word,Similarity
کاری,0.9985937476158142
خواب,0.9984591007232666
زمانی,0.998414933681488
لحظه,0.9982925057411194
قرنطینه,0.9982636570930481
نشستم,0.9979968070983887
اینکه,0.9979101419448853
تلویزیون,0.9977796077728271
بخواد,0.9976800680160522
بدبختی,0.9975610375404358
زندگیم,0.9975269436836243
عده,0.9975020289421082
زندگیتون,0.997481107711792
‏کرونا,0.9973403215408325
بخوام,0.9971696734428406
‏کاش,0.99696946144104
جوری,0.9969345927238464
روزی,0.996894359588623
داری،,0.9966800212860107
می‌بینم,0.9966074228286743
