Word,frequency
پسره,0.4093555786047374
واسه,1.8552767854360632
دوست,0.8521279391363922
دخترش,0.5170807308691421
با,0.9079296807515332
آواز,2.4561334716284247
خونده,3.859638312558953
که,0.8881431394386964
آشتی,1.4736800829770549
کنه,0.8354880251850789
من,0.7254602725080096
تابحال,2.4561334716284247
جلو,1.684205809116634
نزدم،,2.4561334716284247
البته,0.8883887025038983
زدن,1.3148997373364295
بلد,0.9695263703796414
نیستم,0.5458074381396499
دختر,0.6008566861923614
هم,1.0567810118840812
ندارم,0.9771713811855024
«,0.7331741706353506
ای,1.102469001469577
روزی,1.2496117662670931
معشوق,4.912266943256849
حساب,1.0586782205294933
کنیم,1.039133391842795
»,0.7277432508528666
به,0.9840029996744795
ماشینم,0.8771905255815802
تکیه,4.421040248931164
داده,0.7744565000630168
بود,0.7959691806203227
خواستم,0.6140333679071062
حالشو,3.684200207442637
بگیرم,0.7518775933556402
گفتم,0.5190797543132238
ماشین,0.7675417098838828
خودته؟,2.4561334716284247
گفت,0.5696533941748774
نه,0.832587617501161
کی,1.406694624659916
دیگه,1.0716114623160666
از,0.9430339625635064
این,0.6711714663624202
سوار,1.0916148762792999
میشه؟,0.9210500518606592
آره,0.74255197979464
بابا,0.9183803415654112
و,0.703504206278186
پیاده,1.2927018271728552
اومدم,0.6487899736376971
خونه,1.0980361402574135
:,0.7640908334507572
(,0.4352641595290879
‏وقتی,13.75434744111918
تو,1.2964283036130155
جاده,1.6805123753247118
های,1.2383006252793307
شمال،,1.2280667358142123
تتلو,2.865489050233162
گوش,1.1284937572346816
میدید,0.8931394442285181
ما,1.164271061226461
هایده,5.526300311163956
مهستی,3.2748446288378994
خجالت,0.7163722625582905
بکشید,2.4561334716284247
.,0.6765759563080951
ولی,0.7145115553828144
یروز,2.4561334716284247
بالاخره,0.6140333679071062
معلوم,1.8713397879073712
میشه,1.4044741122295137
هفتاد,1.3645185953491248
درصد,0.709549669581545
بدن,1.459441628069064
منو,0.8678338266420434
بجا,4.912266943256849
آب،,2.4561334716284247
چایی,1.6938851528471894
تشکیل,1.9649067773027398
‏باید,9.824533886513699
یه,0.8669987775681711
کلاس,0.8319161758741438
اینایی,1.455486501705733
میرن,1.7337412740906528
بذارن,1.4736800829770549
شما,1.0278384636705908
فقط,1.4683406623865585
رو,1.0417026470130804
قراره,1.3708651934670277
یاد,0.9238667186859214
بگیرید,0.9824533886513698
خوانندگی,2.4561334716284247
جزو,1.2280667358142123
برنامه,1.182582782635908
ها,1.2641863456911009
نیست,0.8423051386852523
اهنگ,3.684200207442637
روش,1.4536300138209044
هاى,22.923912401865294
مدرن,2.4561334716284247
وقتی,1.3280554679577494
مُردم,2.4561334716284247
واسم,1.8011645458608447
مجلس,2.046777893023687
روضه,4.912266943256849
خون,0.8771905255815802
هادی,2.4561334716284247
بیارین,1.6374223144189497
پشت,1.758712856227761
میکروفون,7.368400414885274
بگه,1.6374223144189497
تمام,1.1027538035882722
آهنگ,2.919554881369637
تیکه,0.8502000478713777
کردی,0.9268428194824244
دل,1.3645185953491248
همون,0.8842080497862329
آرش,6.140333679071062
😏,4.912266943256849
خیلی,0.6140333679071062
باهاش,0.8521279391363922
حال,0.7017524204652642
اون,0.9262892444195937
امروز,0.6779951770640964
۱۲,0.8543072944794521
سال,1.5888734048270132
انتشار,1.2280667358142123
می‌گذره,0.7017524204652642
!,0.8054848057198226
اساتیدی,2.4561334716284247
کلاسا,3.684200207442637
اسفند,1.8893334397141728
تعطیل,3.3492729158569428
میکنن,1.446763551781127
میگن,1.8376825974773823
شریف,0.8187111572094748
آدم,1.0621117715149946
بودم,0.7915501235579757
تا,0.93695940593543
اینستا,1.60919089520483
پیداش,0.18893334397141728
کردم,0.6832202262628365
دیدم,0.6729132798981986
کپشن,4.093555786047374
زده,1.081868314883949
نباشی,1.2280667358142123
دوستام,0.4385952627907901
هستن,1.2121178171672746
پس,0.629384202104784
رفتم,0.87296310136191
دنبال,0.862965814355933
رفیق,2.2596427938981507
جای,1.3855111891237268
عشق,0.9111462878621576
دوتا,1.1336000638285038
بى,13.508734093956337
زبون,0.5263143153489481
😂,0.33877703056943786
پرواز,2.4561334716284247
ر,15.964867565584761
روی,0.6455222585690091
نمیکنن,1.4035048409305284
اونایی,1.2030041493690242
برچسب,3.684200207442637
ال,2.4561334716284247
سی,0.4605250259303296
همه,1.3681094337579383
ي,18.421001037213184
خفن,4.912266943256849
درست,1.0332699432367856
ميكنن,9.824533886513699
بعد,0.915846379251277
ميگن,23.333267980470033
ميدوني,7.368400414885274
اينو,4.912266943256849
بيرون,3.070166839535531
ميخورديم,2.4561334716284247
چقدر,0.5435705224095694
خودشون,0.9356698939536856
ذوق,0.6140333679071062
باگ,12.280667358142123
زندگی,0.8271514784178201
همین,0.64296687738964
بس,2.7290371906982496
گذر,0.9210500518606592
ایام,8.596467150699487
نمیکنه,2.0036878321179254
...,1.409392025665975
استرس,0.5403493637582534
فشار,1.039133391842795
زندگیه,2.4561334716284247
میکنه,1.206709053452226
اختراع,7.368400414885274
لباسشویی,0.9824533886513699
باید,1.0929493687930887
رخت,0.8187111572094748
پهن,1.8421001037213185
کن,0.7797249116280713
برقی,1.6374223144189497
کنن,1.1092215678321917
گفتن,1.2132707510453666
تهران,1.1598408060467562
هرروز,0.3070166839535531
میلیمتر,4.912266943256849
نشست,0.5263143153489481
اگه,1.3549219810521638
طبقه,0.4334353185226632
هفتم,7.368400414885274
کنم,0.8582771239147655
میریم,2.280695366512109
خب,0.6643639718339182
سن,1.1336000638285038
