Word,frequency
به,1.160209944468981
گفتم,0.9018507844070225
از,1.176401163152867
این,1.729088014708428
دارید،,0.3341194171146499
برداشت,0.8352985427866247
گفت,0.9448586307242193
بفرمایید,2.3388359198025492
.,0.8983334431288731
چیه,1.0280597449681534
مرد,0.6491462961084626
باید,0.8958806349008195
بگی,0.5771153568343953
مگه,0.8481492895987267
همش,1.5035373770159244
فک,0.9157346987586702
میکنم,1.1815237358836894
ایران,1.4531542903081598
با,1.093130578536947
حسرت,0.6125522647101914
کشورای,1.3364776684585995
دیگه,0.8473268418027522
نگا,0.14849751871762215
میگن,0.6232612203869431
:,1.9969281712866256
اصن,0.5727761436251141
مارو,1.4849751871762218
جدی,1.7819702246114661
هی,0.7897368040891725
ما,0.8742028584780565
جوک,0.6682388342292997
می,0.9328878774884284
‏این,2.724358324165607
توی,1.1953004499594515
انقد,0.6921045068803463
ارزش,2.0047165026878995
داره,0.8728017426668404
نباید,1.3364776684585995
تف,0.5727761436251141
بشه,0.7148601482452974
دوباره,1.2807910989394913
بدی,0.5760679605424999
برگرده,1.3364776684585995
چرخه,3.341194171146499
وضعیت,4.729074826853506
ویروس,169.06442506001287
تو,0.6814525964880713
😂😂😂,5.345910673834398
رو,0.8334354233603348
بگیریم,1.6705970855732495
دستکش,20.047165026878993
شبا,1.4478508074968162
قبل,1.3117280820056625
خواب,0.7011030391913964
کننده,1.593492604700638
استفاده,1.5592239465350328
کنیم,1.609848100643313
مون,0.7289878191592362
خوب,0.676100467573174
بعد,1.0575846012802554
شیر,0.48261693583227205
گاز,1.7183284308753421
باز,1.3595203868802996
بخوابیم,2.0047165026878995
‏بزرگترین,2.0047165026878995
که,0.8559742492912442
انسان,1.299353288779194
خودش,0.9668136325019656
و,1.2217252282358793
گفته,1.083630541993459
همین,0.9355343679210196
جمله,0.5078615140142678
``,0.5102316221947856
سحرخیز,1.3364776684585995
باش,0.5896225007905587
تا,1.30750777680126
کامروا,0.6682388342292997
باشی,0.46776718396050987
'',0.5140298724840767
عه,0.6682388342292997
هر,0.7169944573275748
کی,0.5621691780024267
بوده,0.8699713124872015
هم,0.8822328027545963
اعصاب,1.5035373770159244
حوصله,0.5197413155116776
نداشته,1.2850746812101919
دهنش,0.6682388342292997
بو,0.8687104844980897
میداده,2.0047165026878995
ساعت,1.7572206381585291
۱۲,1.754126939851912
ترافیک,1.4478508074968162
کلیه,2.004716502687899
آموزشی,7.3506271765222975
مجازی,2.873426987185989
رایگان,2.505895628359874
خواهد,5.095321110998411
بود,0.906895560739764
اونقدر,1.0023582513439497
زیاد,1.1606253436614156
شده,1.9365288665420524
نمیتونم,1.6705970855732495
کنم،,0.6682388342292997
فقط,0.6621639357363062
در,2.42863556943869
حد,1.0858881056226122
میدونم,1.5035373770159244
صبح,0.848438070425965
بیدار,0.9188283970652873
میشم,0.6682388342292999
وظیفه,0.6682388342292997
دارم,0.8352985427866247
کلی,0.880860281484077
استرس,1.397226653388536
داشته,0.7004431153969768
باشم,0.6682388342292997
دستش,0.7100037613686311
بود،,0.7289878191592362
نشست,1.781970224611466
اسپری,3.341194171146499
زد،,0.4454925561528665
خود,1.2251045294203828
ریخته,2.672955336917199
),1.740676259663602
‏خوبه,0.6682388342292997
بهونه,1.3364776684585995
ی,0.867942393884033
بر,2.2413844231441096
چرا,0.7842141690955419
سیگار,0.8687104844980897
میدی,1.214979698598727
راننده,0.7935336156472935
تاکسی,0.546740864369427
کشید,1.4701254353044595
گرفتم,1.1508557700615718
ترس,1.479671704364878
میزنم,0.7468551676680409
خودم,0.739835852182439
شد,2.60135831896406
تمدید,6.348268925178348
سفر,2.004716502687899
ایرانیان,4.009433005375799
آمریکا,3.508253879703824
حالی,0.8738507832229305
بایرن,1.3364776684585995
حساب,0.5613206207526118
جلو,0.5986306223304144
هواداران,1.3364776684585995
تیم,0.8074552580270706
خواندن,2.0047165026878995
باشگاه,1.8224695478980903
شرایط,2.784328475955416
را,2.5674439420388886
جایی,0.5197413155116777
بازی,0.9281094919851386
متوقف,5.345910673834398
شود,4.176492713933124
!,1.0747782235264354
بازیکنان,2.672955336917199
مدیران,4.009433005375799
شدت,1.1137313903821662
عصبانی,3.341194171146499
هستند,1.9019105281910842
روزنامه,0.8018866010751597
قطر,1.1694179599012746
لیگ,1.4319403590627853
قهرمانان,1.3364776684585995
آسیا,2.3388359198025492
آستانه,2.0047165026878995
کامل,2.482029955708828
‏اگه,1.1542307136687906
پا,1.3030657267471346
میشی,0.2672955336917199
یجوری,1.252947814179937
نیس,0.8538607326263276
",",0.20636787527669553
نیستی,0.44549255615286654
مرحله,4.276728539067518
هشدار,3.842373296818474
قرار,1.4033015518815297
گرفت,2.4371063366009755
توجه,1.4001194621947233
افزایش,8.687104844980897
موارد,22.051881529566895
بیماری,8.761353604339709
منطقه,2.5393075700713394
گرفته,1.3364776684585995
است,2.820360962114839
دکتر,1.479671704364878
جان,4.1430807722216585
درمان,6.281445041755418
وزارت,6.125522647101915
بهداشت,29.40250870608919
علوم,4.900418117681531
پزشکی,2.0047165026878995
بعدی,2.2720120363796195
غیر,2.768418027521385
مبتلا,28.288777315707023
کنند,1.7009715780382177
بلیط,0.6682388342292997
دیدم,1.0469075069592364
ارزون,1.1137313903821662
تصمیم,1.8562189839702772
بگیرم,0.890985112305733
کل,1.3698896101700646
آسمون,2.0047165026878995
یه,0.701818675145345
دور,1.1982213579283996
بزنم,1.3716481334180364
برگردم,2.0047165026878995
خونه,1.2837219710194445
‏دلم,4.009433005375799
ميخواد,0.40094330053757987
بيفته,0.6682388342292997
زمين,0.4773134530209284
فوتش,0.6682388342292997
كنم,0.38687511455380513
تميز,0.6682388342292997
شه,0.7710448087261151
ينى,0.6682388342292997
كى,0.14849751871762215
ميره,0.5197413155116776
اين,0.39529621179761393
تجربه,0.7517686885079622
‏اگر,0.5197413155116776
خواهید,0.3341194171146499
۷۰,5.345910673834398
ثانیه,1.9092538120837137
فوق,1.8376567941305744
العاده,1.781970224611466
مفید,0.6682388342292997
درباره,1.7819702246114661
نحوه,8.018866010751598
مقابله,34.74841937992359
گوش,0.4913520839921322
کنید,0.9416092664140133
اشتراک,0.22274627807643324
یک,1.1542307136687906
ساده,0.7159701795313926
همه,0.7655807116564025
آن,2.0464814298272307
دهان,2.672955336917199
تحریک,0.6682388342292997
سازمان,3.4366568617506843
نظام,2.0047165026878995
برای,1.730097803689557
جذب,1.0023582513439497
نیرو,2.0047165026878995
مراکز,17.374209689961795
درمانی,10.023582513439496
جدید,1.9453174952008505
پمپ,4.009433005375799
فرودگاه,12.028299016127395
پرواز,0.9652338716645441
های,1.3640908434267527
امروز,1.7147260651921654
(,2.1598433749197015
یکشنبه,0.6682388342292997
بین,1.0858881056226122
جنگل,1.3364776684585995
رشت,3.6753135882611487
می‌شی,0.6682388342292997
کاغذ,0.5197413155116776
زدن,0.7438885135760129
کلا,1.0182686997779806
چیزی,1.1942991930906635
نداریم،,1.0023582513439497
لطفا,2.255306065523887
سوال,0.7468551676680409
نکنید,0.7385797641481735
اعلام,3.69122403669518
زمان,1.2374793226468515
مجدد,2.0047165026878995
ثبت,0.5397313661082807
نام,0.7177380071351739
کنکور,0.6682388342292997
سراسری,6.0141495080636975
کم,1.4001194621947233
آلودگی,5.345910673834398
هوای,0.7796119732675164
تهران,2.1422950862056966
بهش,0.7559873680169856
اضافه,0.8273433185696093
رییس,6.682388342292998
*,2.4502090588407657
عصر,1.5592239465350328
روی,1.2386866195469945
ریخت,2.672955336917199
رقص,3.5321195523548705
فشار,0.9112347739490452
سادگی,0.6682388342292997
میشه,0.8231927668042098
نشد,1.1542307136687906
تهش,1.0023582513439497
باعث,1.5910448434030948
استوری,4.009433005375799
بذاریم,2.0047165026878995
ببینید,2.505895628359874
وزیر,5.457283812872615
ورزش,0.7159701795313926
خواسته,1.3364776684585995
بودیم,0.5820144685222934
تمام,1.047919990041402
بازی‌های,5.345910673834398
کند,1.8376567941305744
حالت,1.6149105160541413
خرداد,2.2274627807643324
درگیر,1.6037732021503195
هستیم,1.6402225931082814
ستاد,11.360060181898097
استان,25.727195117828042
خوزستان,14.033015518815295
قرائت,0.6682388342292997
مهم,0.5911343533566883
حضور,1.8933433636496828
خواستار,2.0047165026878995
مردم,2.1274542477504235
طی,1.5592239465350328
دو,0.7916060036254782
‏روز,5.345910673834398
اون,0.9645619371907087
سال,0.8687104844980897
فرستاد,0.6682388342292997
