Word,Count
گرم,65
كنم،,4
ميكنم,20
خوابم,51
ميگيره,6
نباید,72
بهشون,101
خوبی,102
😒,3
‏خائن,1
بودن,369
راحته,11
‏دختری,3
پسرش,40
میگه,693
رستوران,53
چیه,145
؟,180
بریم,146
فلافلی,5
بنظرم,35
سطح,51
فواصل,1
متناسب,6
کیسه,19
بوکس,5
نصب,22
کلی,120
دعوا,70
جامعه,35
صد,59
تک,55
ستاره,18
موسیقی,31
ایران,321
سیاره,11
جدیدا,21
کشف,47
اینترنت,65
داره؟,25
زور,52
الکی,62
نزنین,2
نمیایما,1
كاش,31
يه,226
دستگاه,29
بسازن,6
ظرفيت,1
هر,943
آدمى,1
صفر,34
نشونمون,2
بده,242
بفهميم,1
بايد,53
بها,3
بديم,5
طرف,244
کاش,219
فیروز,4
نادری,3
بیاد,183
بره,182
حموم؛,1
حوصله‌ی,4
دوش,38
ميگم,17
بحث,68
مورد,189
حذف,50
اعدام,7
كم,24
زوده,1
اول,357
اين,135
كنيم,21
آيا,1
تصادف,36
ماشينامون,1
پياده,4
بشيم,5
همديگه,2
كتك,1
بزنيم,1
يا,43
تمرین,39
رانندگی,29
فوق,27
العاده,17
لیموزین,1
هنرهاي,1
مرتضي,1
خواننده,47
پلنگه,1
قشنگه،,3
اينه,37
تنها,240
ايه,1
كلمه,4
علي,1
الخصوص,2
آهنگش,3
استفاده,210
كرده,20
همینطور,30
معیاراتون,1
ازدواج,215
میگید،,1
نگاه,216
آیینه,2
خودتون,126
بندازید,6
امیدوارم,52
حرفایی,4
روزای,27
اتفاق,71
پلاسکو,5
تحریم,10
چهارشنبه,97
سوری,88
وحشی,11
بازیاش,1
میزدین,2
یادتون,32
نره,32
رفتید,8
کفش,24
بخرید،,3
فروشنده,32
سایز,13
کوچیک,44
اصرار,41
ببر,22
بعدا,33
جا,196
بخوابون,1
گوشش,10
خودت,217
میدونی,42
چرا,632
زدی,22
میدونه,18
خورده,74
هوا,90
يجورى,2
شده,963
هيچكس,11
نمى,9
دونه,51
چى,14
لباس,140
بپوشه,4
آواتار,4
تلگرامش,6
اینه,358
خوشحالی,29
یعنی,270
۴۷,2
تولدت,4
مامان,147
ویدیو,59
برام,145
فرستاده,25
۱۱۹,1
مگ,4
نکته,15
غم,40
انگیزش,2
اونجاست,9
حداقل,117
بار,430
اینو,108
نت,26
بازش,2
کرده,473
‏شما,34
عکس,239
خوشکل,2
ایرانی,172
نشون,169
،,530
احتمال,51
99,6
منم,202
اینهمه,28
عمل,79
آرایش,24
میشم,103
نوستالژى,1
زمانیکه,2
شناسناممونو,1
میذاشتیم,3
گِرو,1
فیلم,193
میگرفتیم,2
کلوپ,5
دخترای,19
دوره‌ی,3
قاجار,3
جوری,155
میپوشیدن,1
زنگ,342
آخر,187
ورزش,55
داشتن,150
اصولا,3
نباس,1
فرصت,36
خودش,295
بیکار,12
شه،,22
وگرنه,102
یادش,55
میاد،,31
چیز,169
همه‌ی,46
چیزها,7
میاد,350
درد,141
شروع,237
دزدای,2
طلافروشی,4
فردوسی,6
ایده,19
دزدی,18
سریال,68
فرار,68
زندان,23
گرفتیم,27
‏-دکتر,1
حالش,33
چطوره؟,11
باكلاسا,2
خيلي,20
كمه،من,2
زيدم,2
نون,79
باگت,3
بردم،وسطش,2
ميگفتم,2
كيه,3
پشت؟تا,2
روشو,4
ميكرد,10
اونور,33
ميخوردم,3
سير,6
شم,50
‏من,125
۷,66
کلیه,15
داشته,364
باشم,106
زندگیم,73
بیوفته,14
غلتک,1
همینطوری,9
نشستم,32
کامپیوتر,12
یکی,863
اسلحه,6
میزاره,8
سرم,44
مادرم,71
میگم,191
دین,7
ایمونم,2
زن,220
نمیخوام,14
اتفاقا,30
ایمون,3
دوره,46
قرآنمون,1
هست,293
پنجه,5
آفتاب,11
مشکل,118
وقتى,36
علاقمند,4
میشیم,51
فرض,11
میکنیم,76
بدون,235
زندگیمون,28
نمیگذره,3
خاطر,112
براى,27
موندن,33
کار,515
احمقانه,8
اى,15
‏یبار,3
تونل,11
جیغ,30
بابام,397
زد,206
کنار,159
احترام,50
اورد,12
بیرون,415
دست,541
جیبش,8
یخورده,7
بقیه,212
بیا,161
خونواده‌ها,1
رفتار,66
دخترا,105
شوهرو,1
چشم,122
برگه‌ی,2
آزادیشون,2
نبینن,3
میفته,27
قیمه‌,1
ریختی,6
ماستا,1
‏یبارم,7
فامیلا,5
داداشش,4
رفته,216
خانم,130
آشناهات,1
خوشگل,58
کدبانو,1
مثل,413
خودت،,5
نجیب,1
سراغ,25
داری؟,25
‏سایتای,2
اینجوری,157
عکسای,18
پروفایل,12
جمعین,1
اونی,71
ازهمه,2
زشت,42
تره,30
