Word,Count
پسره,10
واسه,176
دوست,119
دخترش,4
با,692
گیتار,10
آواز,4
خونده,11
که,1616
آشتی,3
کنه,83
…بعد,2
من,459
تابحال,2
جلو,48
زیدم,3
نزدم،,1
البته,17
زدن,53
بلد,15
نیستم,10
…بماند,1
دختر,57
هم,509
ندارم,37
«,120
ای,79
خوشا,2
روزی,29
معشوق,2
دنگی,1
دونگی,1
حساب,25
کنیم,44
»,120
به,1270
ماشینم,5
تکیه,9
داده,35
بود,280
خواستم,9
حالشو,3
بگیرم,15
گفتم,123
ماشین,45
خودته؟,1
گفت,215
نه,140
کی,63
دیگه,250
از,1244
این,417
لگنا,1
سوار,16
میشه؟,6
آره,13
بابا,43
و,1549
پیاده,20
اومدم,14
خونه,152
:,429
(,56
‏وقتی,28
تو,1062
جاده,13
های,121
شمال،,2
تتلو,7
وعلیشمس,1
گوش,34
میدید,4
ما,292
درک،,1
هایده,9
مهستی,4
خجالت,7
بکشید,3
.,1455
ولی,192
یروز,2
بالاخره,10
معلوم,16
میشه,207
هفتاد,5
درصد,13
بدن,41
منو,53
بجا,4
آب،,1
چایی,20
تشکیل,8
^,2
‏باید,4
یه,796
کلاس,21
اینایی,16
میرن,24
بذارن,6
شما,154
فقط,220
رو,1076
قراره,24
یاد,41
بگیرید,10
خوانندگی,1
جزو,4
برنامه,26
ها,140
نیست,119
نخونید,1
‏ريميكس,1
ينى,1
ريدن,2
اهنگ,12
روش,29
هاى,28
مدرن,2
وقتی,259
مُردم,1
واسم,11
مجلس,5
ترحیمم,1
روضه,2
خون,10
نیارین,1
هادی,1
عاملو,1
بیارین,2
پشت,58
میکروفون,3
بگه,38
تمام,44
آهنگ,63
تیکه,9
کردی,20
دل,35
یادته؟,1
همون,54
آرش,5
😏,2
خیلی,142
باهاش,34
حال,48
اون,221
موقع؟,1
امروز,53
۱۲,8
سال,240
انتشار,4
می‌گذره,2
!,406
اساتیدی,1
کلاسا,3
۲٠,1
اسفند,10
تعطیل,15
میکنن,86
میگن,104
مدرسان,1
شریف,1
آدم,96
عاشق‌پیشه‌ای,1
بودم,68
تا,346
اینستا,19
پیداش,1
کردم,79
دیدم,60
کپشن,5
زده,37
نباشی,3
دوستام,5
هستن,38
پس,41
رفتم,59
دنبال,26
رفیق,23
جای,66
عشق,23
مكالمه,2
تصويرى,1
دوتا,24
فسقلى,1
بى,11
زبون,3
😂,8
اتیکت,1
پرواز,9
ر,13
روی,41
چمدونشون,1
نمیکنن,8
اونایی,24
برچسب,3
ال,2
سی,6
دیشون,1
بدترن,1
همه,254
ايراني,4
ميشينن,1
ي,15
غذاي,1
خفن,6
درست,61
ميكنن,12
بعد,242
ميگن,19
ميدوني,3
اينو,4
بيرون,5
ميخورديم,1
چقدر,27
قيمتش,1
ميشد؟بعدش,1
نبوغ,1
اقتصادي,1
خودشون,24
ذوق,8
باگ,5
زندگی,98
همین,50
بس,10
گذر,3
ایام,14
پیرت,1
نمیکنه,31
...,171
استرس,11
فشار,11
زندگیه,5
نابودت,1
میکنه,113
اختراع,18
لباسشویی,2
باید,182
رخت,1
پهن,3
کن,60
برقی,4
کنن,56
کارشناسا,1
گفتن,41
تهران,34
هرروز,1
میلیمتر,2
نشست,3
اگه,251
طبقه,3
هفتم,3
کنم,94
۵۰سال,1
میریم,13
همکف،,1
خب,33
سن,18
زانوهام,1
بهتره,10
امان,4
دلِ,2
سیمین,2
بهبهانی،,2
چه,92
حالی,13
شعرو,2
نوشته؛,2
‏اونيكه,1
گفته,37
انسان,18
در,413
دوران,13
پيرى,1
مبتلا,3
آلزايمر,1
ميشن,8
حتمن,4
جوون,5
نسل,7
حاضر,6
نديد,1
كه,308
سادگى,1
همو,8
فراموش,18
‏ما,22
زیدمون,2
چشاش,3
مشگی,1
آهنگا,2
درباره,9
چشه,3
رنگی,4
چش,5
گیرمون,1
اومد,44
شد,112
راجع,7
مشگیا,1
‏جای,2
خالی,21
بعضیا,15
انقد,28
بزرگه,6
داخلش,3
کرد,116
بیشتر,73
سنتون,2
بفهمین،,1
اما,39
جلوتر,4
نکنید,19
روز,194
حسرت,12
کودکی،,1
نوجوانی,2
جوانیِ,1
زندگی‌نکرده‌تون,1
می‌خورید,2
‏دختر,2
احمق,11
دوس,48
دارن,96
چون,54
ميخوان,3
ازش,27
سوءاستفاده,1
كنن,14
‏تو,35
پاساژ,3
دختره,39
لهجه,6
ی,87
انگلیسی,11
صدا,31
mother،,2
mother,2
برگشتم,9
ننه,8
اشو,2
ببینم،که,2
یهو,41
یک,143
سبیل,5
رفت,35
دستشو,6
گرفت,17
حالا,82
نگو,8
میگفته,6
``,203
نادر,3
'',221
راننده,16
نيسان,1
ابي,3
چراغ,10
قرمز,22
😃,2
‏متاسفانه,6
فرهنگ,11
کشور,34
مقابل,5
تهاجم,1
فرهنگی,2
مقاومت,7
پایینی,1
داره،,14
نود,5
قسمت,24
شب,88
برره,2
پخش,26
دو,130
زبان,13
رسمی,8
ممکلتو,1
تغییر,12
داد,62
+رزومه,1
ات,7
چیه؟,23
‏یکی,21
بزرگترین,12
مشکلات,8
رابطه,28
اینه‌که،,2
10درصد,1
چیزی,47
طرفمون,1
توقع,4
داریم,61
رو،,3
خودمون,19
انجام,29
نمیدیم,1
‏همسایه‌ها,1
پول,93
جمع,35
کردن,114
پمپ,1
خریدن,3
برای,146
آب,57
تاثیر,10
نداره,60
بابا،,1
شیر,18
باز,58
می‌کنی,4
انگار,49
سد,3
شکسته,4
‏یه,56
راه,63
حل,19
پیدا,50
مقابله,1
تازه,37
عروس,4
دامادا,1
بشقاب,3
غذا,41
میخورن,9
آینه,10
بزرگ,29
جلوشون,1
خودشونو,3
میبینن,7
شرمنده,10
میشن,27
هیچوقت,23
سر,106
نیسان,7
آبی,14
پارک,18
درگیر,5
تکونی,14
هستیم,11
وضعیت,13
کادو,8
ولنتاین,3
بی,73
معنیه,1
میدونم,4
گذشته,10
الان,155
استارت,1
زدم,27
بعدم,2
ندم,2
‏اگه,22
خواستید,2
ازمن,1
اعتراف,8
کافیه,12
دستامو,1
ببندید,2
بریون,2
بذارید,3
جلوم,4
نارنجم,1
بغلش,6
باشه,131
گناهان,2
نکرده,8
می‌کنم,7
‏سردم,1
ميشه,50
نميتونم,3
درس,36
بخونم,7
مجبورم,2
اتاقو,2
گرم,14
كنم،,3
ميكنم,13
خوابم,10
ميگيره,5
نباید,10
بهشون,20
خوبی,17
😒,1
‏خائن,1
بودن,76
راحته,2
‏دختری,3
پسرش,8
میگه,172
رستوران,14
چیه,26
؟,32
بریم,27
فلافلی,3
بنظرم,7
سطح,8
فواصل,1
متناسب,1
کیسه,4
بوکس,1
نصب,5
کلی,22
دعوا,13
جامعه,9
صد,11
تک,18
ستاره,10
موسیقی,11
ایران,63
سیاره,4
جدیدا,4
کشف,3
اینترنت,18
داره؟,6
زور,13
الکی,20
نزنین,1
نمیایما,1
كاش,24
يه,141
دستگاه,4
بسازن,1
ظرفيت,1
هر,233
آدمى,1
صفر,2
نشونمون,2
بده,56
بفهميم,1
بايد,30
بها,1
بديم,3
طرف,55
